Date,Adani Enterprises,BEL,BHEL,HCL,HUL,ITC,SPYL,Tata Steel,VUSA
2023-02-14,1749.699951,94.599998,71.0,106.550003,2579.600098,386.450012,412.640015,109.25,71.75
2023-02-15,1779.099976,94.650002,71.75,106.699997,2548.449951,382.200012,413.980011,110.300003,72.360001
2023-02-16,1796.599976,97.75,72.949997,108.150002,2527.100098,382.549988,408.279999,112.0,72.199997
2023-02-17,1722.699951,96.449997,72.400002,106.050003,2515.5,383.399994,407.26001,112.25,71.449997
2023-02-20,1621.449951,94.900002,71.650002,104.25,2511.449951,384.049988,,112.349998,71.25
2023-02-21,1571.099976,95.550003,70.75,103.599998,2516.149902,382.25,399.089996,113.150002,70.690002
2023-02-22,1404.849976,95.0,68.800003,100.849998,2494.050049,383.850006,398.540009,111.150002,70.57
2023-02-23,1382.650024,95.400002,68.949997,101.650002,2490.649902,387.600006,400.660004,112.050003,70.720001
2023-02-24,1315.650024,95.349998,68.400002,100.0,2484.199951,385.100006,396.380005,109.75,70.370003
2023-02-27,1193.5,95.400002,67.099998,97.0,2468.149902,382.200012,397.730011,106.099998,71.089996
2023-02-28,1363.849976,94.599998,69.800003,97.25,2460.649902,376.700012,396.26001,103.949997,70.839996
2023-03-01,1564.300049,97.050003,72.800003,102.599998,2466.25,378.700012,394.73999,105.5,70.300003
2023-03-02,1607.25,96.699997,74.800003,101.449997,2455.350098,375.549988,397.809998,104.650002,70.57
2023-03-03,1879.5,95.849998,74.699997,103.0,2471.0,384.950012,404.190002,107.0,71.610001
2023-03-06,1982.900024,96.449997,74.900002,102.400002,2484.850098,388.149994,404.470001,105.650002,72.019997
2023-03-07,,,,,,,398.269989,,71.599998
2023-03-08,2039.650024,96.099998,78.050003,101.5,2485.100098,392.399994,398.920013,106.5,71.129997
2023-03-09,1953.150024,95.449997,77.400002,102.150002,2461.399902,387.5,391.559998,108.199997,71.199997
2023-03-10,1896.199951,94.900002,77.0,100.699997,2465.449951,388.0,385.910004,108.099998,68.699997
2023-03-13,1874.400024,92.349998,74.25,98.599998,2455.100098,383.649994,385.359985,106.800003,67.290001
2023-03-14,1738.199951,92.75,74.800003,98.25,2442.449951,379.700012,391.730011,106.400002,68.330002
2023-03-15,1839.0,92.599998,75.099998,98.650002,2406.100098,379.399994,389.279999,108.650002,67.860001
2023-03-16,1843.800049,91.900002,75.599998,97.75,2459.350098,381.450012,396.109985,105.050003,69.269997
2023-03-17,1876.550049,93.400002,76.300003,100.199997,2447.399902,375.549988,389.98999,107.0,68.650002
2023-03-20,1804.949951,92.650002,74.25,97.25,2511.199951,378.799988,393.73999,104.5,69.089996
2023-03-21,1824.25,93.099998,75.849998,98.199997,2462.600098,376.950012,398.910004,104.75,69.580002
2023-03-22,1815.400024,92.650002,74.199997,98.400002,2476.350098,377.75,392.109985,104.800003,69.889999
2023-03-23,1794.0,92.099998,74.300003,98.599998,2485.100098,380.649994,393.170013,104.900002,69.050003
2023-03-24,1740.650024,91.550003,71.800003,96.300003,2480.800049,378.700012,395.75,102.099998,68.599998
2023-03-27,1723.050049,91.75,71.050003,96.0,2499.0,380.200012,396.48999,102.300003,69.0
2023-03-28,1600.849976,90.300003,70.099998,94.650002,2482.800049,379.75,395.600006,102.5,69.18
