,Portfolio Returns,Portfolio Standard Deviation,Sharpe Ratio,Balanced Weights
81,0.07352197333717078,0.22350403893747564,0.32895143052756315,"[0.17340327 0.17513778 0.08586567 0.1667132  0.00520524 0.03930836
 0.1561444  0.09641609 0.10180598]"
82,0.14071026369765124,0.14638280974261245,0.9612485505986984,"[0.02307251 0.18313402 0.0513752  0.17458859 0.2098496  0.01935845
 0.14352915 0.06256128 0.13253119]"
83,0.08080415033204313,0.1865319617532594,0.4331919826100858,"[0.11929822 0.14847605 0.05061123 0.17900477 0.08684169 0.05780824
 0.07002018 0.12518283 0.16275679]"
84,0.0957712300101122,0.13837465973478008,0.6921153785937034,"[0.06944007 0.04617801 0.10868691 0.05760088 0.14553543 0.01038877
 0.13918873 0.16600483 0.25697637]"
85,0.13973936292326142,0.1754647558842762,0.7963956192742395,"[0.08852171 0.22192519 0.14650944 0.0553371  0.00033939 0.00202193
 0.16996969 0.07885697 0.23651858]"
86,0.14328302712622046,0.14790369611207646,0.9687589349873,"[0.07504269 0.01637637 0.15972008 0.02524407 0.02721852 0.16346773
 0.18115893 0.17292135 0.17885026]"
87,0.18926630453493185,0.17335681532094818,1.0917730819208304,"[0.05672683 0.04741213 0.15974104 0.10198514 0.06187833 0.31540901
 0.0297541  0.20508296 0.02201046]"
88,0.07254366803859269,0.16042644661572664,0.4521926999502663,"[0.12770492 0.00533332 0.08752957 0.12677683 0.16210538 0.15867323
 0.15406283 0.03444479 0.14336912]"
89,0.055026628669622386,0.20771954183067182,0.2649082902102626,"[0.18730778 0.11234979 0.16035779 0.010794   0.11173724 0.11673159
 0.06167876 0.10664769 0.13239535]"
90,0.2250616144418516,0.19830569526338768,1.1349225958585152,"[0.01986462 0.17909456 0.13998708 0.25747627 0.00767051 0.04352039
 0.14567237 0.10311629 0.1035979 ]"
91,0.06906997099358969,0.1996738650431199,0.34591392808805455,"[0.16611239 0.0737615  0.14277757 0.07419429 0.13477869 0.11609219
 0.08646674 0.12578615 0.08003047]"
